,doc1_1,word1,doc1_2,word2,bidirectional_hash
5691,1087,1202,1087,4503,1853949519454618775
8447,1602,3648,1602,4151,1878495915144237719
4489,854,3648,854,4151,1878495915144237719
42,7,4301,7,3373,1908392589580269594
7556,1436,4301,1436,3373,1908392589580269594
6368,1212,419,1212,4548,1945831198851682067
6862,1306,419,1306,4548,1945831198851682067
6846,1303,419,1303,4548,1945831198851682067
6863,1306,4548,1306,1497,1953336400217271225
6369,1212,4548,1212,1497,1953336400217271225
7828,1487,2529,1487,4503,1954893646143346392
2081,398,2529,398,4503,1954893646143346392
963,183,2234,183,4559,2025107291291778223
4124,786,2234,786,4559,2025107291291778223
971,184,4503,184,2891,2053388813595498194
9359,1777,4503,1777,2891,2053388813595498194
7829,1487,4503,1487,2891,2053388813595498194
5182,991,4503,991,2891,2053388813595498194
7486,1423,3957,1423,4057,2069199909710723614
6759,1286,3957,1286,4057,2069199909710723614
8392,1592,727,1592,4655,2185942712208751782
351,69,727,69,4655,2185942712208751782
8637,1640,4623,1640,2538,2216945198063414511
9201,1747,4623,1747,2538,2216945198063414511
7180,1366,1795,1366,4696,2302341999504036851
6654,1265,1795,1265,4696,2302341999504036851
10297,1955,3836,1955,4347,2382803903364756683
4436,844,3836,844,4347,2382803903364756683
3605,686,4197,686,4080,2432830181635700757
2469,471,4197,471,4080,2432830181635700757
2071,396,2612,396,4715,2451863068500563707
10192,1935,2612,1935,4715,2451863068500563707
7219,1371,4699,1371,2834,2473820964816862923
5715,1092,4699,1092,2834,2473820964816862923
6916,1316,4754,1316,2376,2503987681709530400
3025,578,4754,578,2376,2503987681709530400
10102,1919,1249,1919,4813,2585771361651516542
9217,1750,4813,1750,1249,2585771361651516542
9218,1750,1249,1750,4813,2585771361651516542
1723,328,1936,328,4813,2609929152293053469
9216,1750,1936,1750,4813,2609929152293053469
1562,299,1249,299,4859,2711574840670069548
8289,1573,1249,1573,4859,2711574840670069548
6281,1195,495,1195,4876,2756278943657208751
10339,1962,495,1962,4876,2756278943657208751
322,64,4883,64,1451,2782522376644576894
652,122,4883,122,1451,2782522376644576894
2126,407,4883,407,1451,2782522376644576894
7488,1424,4871,1424,2376,2817870227049922727
7600,1444,4871,1444,2376,2817870227049922727
